date,sentiment_score,volume
2018-12-30,-0.0299,3135
2018-12-31,0.0289,9024
2019-01-01,0.0237,11415
2019-01-02,-0.0158,9209
2019-01-03,-0.0373,11628
2019-01-04,-0.049,13019
2019-01-05,-0.0492,13223
2019-01-06,-0.0313,9868
2019-01-07,-0.0383,10023
2019-01-08,-0.0254,9205
2019-01-09,-0.0188,10958
2019-01-10,-0.0232,8424
2019-01-11,-0.0241,8238
2019-01-12,-0.0329,7139
2019-01-13,-0.026,5395
2019-01-14,-0.0215,3272
2019-01-15,-0.0216,1994
2019-01-16,-0.0312,4508
2019-01-17,-0.0064,6865
2019-01-18,-0.0454,5570
2019-01-19,-0.0233,5840
2019-01-20,-0.0343,8385
2019-01-21,-0.0399,10806
2019-01-22,-0.0357,10101
2019-01-23,-0.0373,9107
2019-01-24,-0.042,13534
2019-01-25,-0.037,10185
2019-01-26,-0.0176,9063
2019-01-27,-0.0275,12680
2019-01-28,-0.0222,8371
2019-01-29,-0.0166,14237
2019-01-30,-0.0475,10547
2019-01-31,-0.0206,11051
2019-02-01,-0.0261,5589
2019-02-02,-0.0455,5313
2019-02-03,-0.0392,5720
2019-02-04,-0.0413,6726
2019-02-05,-0.0183,6644
2019-02-06,-0.0113,7808
2019-02-07,-0.0208,3267
2019-02-08,-0.0315,3825
2019-02-09,-0.0349,3154
2019-02-10,-0.0256,3430
2019-02-11,-0.0347,5790
2019-02-12,-0.0216,6345
2019-02-13,-0.0255,3391
2019-02-14,-0.0334,3509
2019-02-15,-0.0382,3775
2019-02-16,-0.0499,6486
2019-02-17,-0.0583,5860
2019-02-18,-0.0345,3398
2019-02-19,-0.0279,3979
2019-02-20,-0.0443,3801
2019-02-21,-0.0565,6443
2019-02-22,-0.0653,5926
2019-02-23,-0.0458,4715
2019-02-24,-0.04,5862
2019-02-25,-0.0336,9295
2019-02-26,-0.0402,3961
2019-02-27,-0.041,4550
2019-02-28,-0.0509,4369
2019-03-01,-0.0478,5266
2019-03-02,-0.0579,5184
2019-03-03,-0.0173,8080
2019-03-04,-0.0226,5582
2019-03-05,-0.0313,5373
2019-03-06,-0.0307,8083
2019-03-07,-0.0518,6851
2019-03-08,-0.0358,6088
2019-03-09,-0.0409,3685
2019-03-10,-0.0331,5142
2019-03-11,-0.0203,3551
2019-03-12,-0.0345,3647
2019-03-13,-0.0298,2933
2019-03-14,-0.0327,2653
2019-03-15,-0.0291,3638
2019-03-16,-0.037,2068
2019-03-17,-0.0527,3860
2019-03-18,-0.0494,4766
2019-03-19,-0.0297,7066
2019-03-20,-0.0404,6997
2019-03-21,-0.0683,12219
2019-03-22,-0.0466,7930
2019-03-23,-0.0367,5323
2019-03-24,-0.0285,9335
2019-03-25,-0.0262,7200
2019-03-26,-0.025,7426
2019-03-27,-0.0345,5914
2019-03-28,-0.029,6684
2019-03-29,-0.0379,5200
2019-03-30,-0.0301,2009
2019-03-31,-0.0214,1848
2019-04-01,-0.0498,4414
2019-04-02,-0.0572,5170
2019-04-03,-0.065,4794
2019-04-04,-0.0472,6184
2019-04-05,-0.0385,4422
2019-04-06,-0.0441,3596
2019-04-07,-0.0351,4138
2019-04-08,-0.0392,3509
2019-04-09,-0.0376,7113
2019-04-10,-0.0409,4405
2019-04-11,-0.0312,6050
2019-04-12,-0.0386,5693
2019-04-13,-0.052,2807
2019-04-14,-0.0273,3054
2019-04-15,-0.0276,3288
2019-04-16,-0.0384,3743
2019-04-17,-0.0232,3952
2019-04-18,-0.0331,3869
2019-04-19,-0.0309,3662
2019-04-20,-0.0394,2184
2019-04-21,-0.0415,1843
2019-04-22,-0.0352,2225
2019-04-23,-0.0189,3326
2019-04-24,-0.022,4215
2019-04-25,-0.0317,5202
2019-04-26,-0.0257,4593
2019-04-27,-0.0498,3252
2019-04-28,-0.0452,2996
2019-04-29,-0.0412,4043
2019-04-30,-0.0157,5131
2019-05-01,-0.0079,3258
2019-05-02,-0.0193,3607
2019-05-03,-0.0223,6605
2019-05-04,-0.034,3296
2019-05-05,-0.0525,2916
2019-05-06,-0.0468,3391
2019-05-07,-0.0441,2522
2019-05-08,-0.0405,3270
2019-05-09,-0.0202,3875
2019-05-10,-0.0232,3023
2019-05-11,-0.0437,2428
2019-05-12,-0.0443,2697
2019-05-13,-0.0341,5822
2019-05-14,-0.0301,4454
2019-05-15,-0.0339,5605
2019-05-16,-0.0355,3447
2019-05-17,-0.0373,4441
2019-05-18,-0.0425,4844
2019-05-19,-0.022,5303
2019-05-20,-0.0162,8251
2019-05-21,-0.0527,9093
2019-05-22,-0.0361,6010
2019-05-23,-0.0301,4811
2019-05-24,-0.01,3844
2019-05-25,-0.0286,3623
2019-05-26,-0.0303,3265
2019-05-27,-0.026,7953
2019-05-28,-0.0268,4853
2019-05-29,-0.0191,2888
2019-05-30,-0.0249,4456
2019-05-31,-0.0193,4594
2019-06-01,-0.0303,4757
2019-06-02,-0.0314,6354
2019-06-03,-0.0261,3777
2019-06-04,-0.0292,4620
2019-06-05,-0.0254,4246
2019-06-06,-0.0144,5369
2019-06-07,-0.0207,1401
2019-06-08,-0.0603,25
2019-06-09,-0.017,29
2019-06-10,0.0058,2802
2019-06-11,-0.0123,3878
2019-06-12,-0.0437,3355
2019-06-13,-0.0279,6849
2019-06-14,-0.0192,4914
2019-06-15,-0.0216,3440
2019-06-16,-0.0263,5252
2019-06-17,-0.0377,3877
2019-06-18,-0.0344,4269
2019-06-19,-0.0289,3179
2019-06-20,-0.0189,3654
2019-06-21,-0.033,4853
2019-06-22,-0.0278,4139
2019-06-23,-0.0132,2338
2019-06-24,-0.021,4739
2019-06-25,-0.0343,6350
2019-06-26,0.0003,10816
2019-06-27,-0.0153,10527
2019-06-28,-0.0305,7600
2019-06-29,-0.0252,17968
2019-06-30,-0.0221,12276
2019-07-01,-0.0213,7470
2019-07-02,-0.0176,9270
2019-07-03,-0.0271,8758
2019-07-04,-0.0344,11947
2019-07-05,-0.0098,7666
2019-07-06,-0.025,7457
2019-07-07,-0.0266,10037
2019-07-08,-0.0346,9862
2019-07-09,-0.0294,7913
2019-07-10,-0.0197,7291
2019-07-11,-0.0233,4671
2019-07-12,-0.0231,4141
2019-07-13,-0.0163,6702
2019-07-14,-0.0172,6974
2019-07-15,-0.0294,6675
2019-07-16,-0.0142,5976
2019-07-17,0.0052,6803
2019-07-18,-0.0308,4151
2019-07-19,-0.0385,1952
2019-07-20,-0.0638,5414
2019-07-21,-0.0649,7554
2019-07-22,-0.0262,5744
2019-07-23,-0.0388,4355
2019-07-24,-0.0288,4576
2019-07-25,-0.0419,4774
2019-07-26,-0.0267,8460
2019-07-27,-0.0419,8357
2019-07-28,-0.0288,5142
2019-07-29,-0.0457,3390
2019-07-30,-0.0569,7483
2019-07-31,-0.0361,6092
2019-08-01,-0.0255,3911
2019-08-02,-0.0361,4192
2019-08-03,-0.0674,6993
2019-08-04,-0.0422,4875
2019-08-05,-0.0384,6511
2019-08-06,-0.0243,6377
2019-08-07,-0.0216,5388
2019-08-08,-0.0382,4737
2019-08-09,-0.0145,6291
2019-08-10,0.0171,6533
2019-08-11,-0.0002,4827
2019-08-12,-0.0226,3506
2019-08-13,-0.0241,6162
2019-08-14,-0.0225,6857
2019-08-15,-0.0289,6608
2019-08-16,-0.0386,9092
2019-08-17,-0.0181,12818
2019-08-18,-0.0401,14142
2019-08-19,-0.038,8549
2019-08-20,-0.0197,6026
2019-08-21,-0.028,7595
