date,sentiment_score,volume
2019-05-12,-0.0379,14101
2019-05-13,-0.0382,16756
2019-05-14,-0.0349,14742
2019-05-15,-0.0332,15528
2019-05-16,-0.0315,13906
2019-05-17,-0.0319,16075
2019-05-18,-0.0346,16083
2019-05-19,-0.0245,17389
2019-05-20,-0.0237,23239
2019-05-21,-0.04,29290
2019-05-22,-0.028,20264
2019-05-23,-0.0255,16678
2019-05-24,-0.0271,15240
2019-05-25,-0.0379,14158
2019-05-26,-0.0388,12825
2019-05-27,-0.0258,17163
2019-05-28,-0.0156,12341
2019-05-29,-0.0086,11672
2019-05-30,-0.0315,14775
2019-05-31,-0.0291,13967
2019-06-01,-0.0308,14204
2019-06-02,-0.0266,17439
2019-06-03,-0.0311,13550
2019-06-04,-0.0259,14244
2019-06-05,-0.024,13235
2019-06-06,-0.0214,17074
2019-06-07,-0.0264,4516
2019-06-08,-0.0245,129
2019-06-09,-0.0138,293
2019-06-10,-0.0241,8753
2019-06-11,-0.0308,12496
2019-06-12,-0.0392,13817
2019-06-13,-0.0309,15139
2019-06-14,-0.0224,12548
2019-06-15,-0.0273,15484
2019-06-16,-0.0245,16896
2019-06-17,-0.0372,13268
2019-06-18,-0.0239,13795
2019-06-19,-0.0237,15084
2019-06-20,-0.0238,15500
2019-06-21,-0.0335,15497
2019-06-22,-0.0276,12796
2019-06-23,-0.0441,11371
2019-06-24,-0.0297,13144
2019-06-25,-0.031,15789
2019-06-26,-0.0221,31081
2019-06-27,-0.028,33689
2019-06-28,-0.0341,27510
2019-06-29,-0.0327,37878
2019-06-30,-0.0256,29810
2019-07-01,-0.0212,21816
2019-07-02,-0.0261,23877
2019-07-03,-0.0284,29471
2019-07-04,-0.0246,27678
2019-07-05,-0.0155,27744
2019-07-06,-0.0272,25207
2019-07-07,-0.0302,30113
2019-07-08,-0.0242,27727
2019-07-09,-0.0236,25062
2019-07-10,-0.0241,23546
2019-07-11,-0.0163,19515
2019-07-12,-0.0269,15211
2019-07-13,-0.0292,18099
2019-07-14,-0.0248,17608
2019-07-15,-0.0269,20735
2019-07-16,-0.0247,21459
2019-07-17,-0.0096,14499
2019-07-18,-0.0255,11216
2019-07-19,-0.0267,7827
2019-07-20,-0.0432,13149
2019-07-21,-0.0474,15565
2019-07-22,-0.0254,16449
2019-07-23,-0.0274,13190
2019-07-24,-0.0217,12085
2019-07-25,-0.0387,17503
2019-07-26,-0.0426,34978
2019-07-27,-0.0297,30391
2019-07-28,-0.0366,15860
2019-07-29,-0.0364,11466
2019-07-30,-0.0394,18469
2019-07-31,-0.0195,18339
2019-08-01,-0.0325,16860
2019-08-02,-0.0223,19006
2019-08-03,-0.0482,16635
2019-08-04,-0.0305,12282
2019-08-05,-0.0305,17067
2019-08-06,-0.0248,16133
2019-08-07,-0.0361,18459
2019-08-08,-0.0387,16547
2019-08-09,-0.0229,16432
2019-08-10,-0.0082,15947
2019-08-11,-0.0208,13044
2019-08-12,-0.0257,9713
2019-08-13,-0.0248,14136
2019-08-14,-0.0331,20767
2019-08-15,-0.0244,22604
2019-08-16,-0.0377,27293
2019-08-17,-0.0252,29394
2019-08-18,-0.035,30823
2019-08-19,-0.0334,17688
2019-08-20,-0.0279,17338
2019-08-21,-0.0318,18523
2019-08-22,-0.0254,14296
2019-08-23,-0.0193,16928
2019-08-24,-0.0263,12369
2019-08-25,-0.0307,11064
2019-08-26,-0.0319,11808
2019-08-27,-0.0217,12840
2019-08-28,-0.0317,12115
2019-08-29,-0.0218,10614
2019-08-30,-0.0159,11850
2019-08-31,-0.0353,10859
2019-09-01,-0.0303,15888
2019-09-02,-0.0275,23165
2019-09-03,-0.0328,17067
2019-09-04,-0.0333,14004
2019-09-05,-0.0284,18078
2019-09-06,-0.031,12931
2019-09-07,-0.0232,15297
2019-09-08,-0.0206,13023
2019-09-09,-0.0232,11781
2019-09-10,-0.0287,11522
2019-09-11,-0.0231,17999
2019-09-12,-0.0293,18164
2019-09-13,-0.0334,22545
2019-09-14,-0.0338,27506
2019-09-15,-0.0375,23211
2019-09-16,-0.0391,22098
2019-09-17,-0.0407,18737
2019-09-18,-0.0366,21933
2019-09-19,-0.0256,22057
2019-09-20,-0.0198,17189
2019-09-21,-0.0262,19928
2019-09-22,-0.036,18110
2019-09-23,-0.0261,21603
2019-09-24,-0.0246,18912
2019-09-25,-0.0351,14742
2019-09-26,-0.0284,17490
2019-09-27,-0.0395,16299
2019-09-28,-0.0418,17602
2019-09-29,-0.0357,25095
2019-09-30,-0.0355,21629
2019-10-01,-0.0319,18171
2019-10-02,-0.0254,15246
2019-10-03,-0.0401,18947
2019-10-04,-0.0445,18891
2019-10-05,-0.0389,24892
2019-10-06,-0.0284,19570
2019-10-07,-0.0479,17401
2019-10-08,-0.042,17052
2019-10-09,-0.0332,13996
2019-10-10,-0.0366,13529
2019-10-11,-0.0334,12112
2019-10-12,-0.0244,13201
2019-10-13,-0.0145,28403
2019-10-14,-0.0307,19022
2019-10-15,-0.0431,19578
2019-10-16,-0.0412,14248
2019-10-17,-0.0406,11118
2019-10-18,-0.0279,10945
2019-10-19,-0.042,9926
2019-10-20,-0.0487,9370
2019-10-21,-0.0423,11237
2019-10-22,-0.0433,11804
2019-10-23,-0.0313,13228
2019-10-24,-0.04,13839
2019-10-25,-0.0379,12704
2019-10-26,-0.0507,14864
2019-10-27,-0.0509,10718
2019-10-28,-0.0387,9202
2019-10-29,-0.0285,15262
2019-10-30,-0.0361,14956
2019-10-31,-0.0405,12403
2019-11-01,-0.0406,15988
2019-11-02,-0.04,15143
2019-11-03,-0.037,15741
2019-11-04,-0.0374,11364
2019-11-05,-0.0285,11759
2019-11-06,-0.0369,12981
2019-11-07,-0.043,11679
2019-11-08,-0.0361,12862
2019-11-09,-0.0358,11271
2019-11-10,-0.028,12900
2019-11-11,-0.039,5592
2019-11-12,-0.0335,9176
2019-11-13,-0.0395,12386
2019-11-14,-0.0356,13109
2019-11-15,-0.0382,7451
2019-11-16,-0.0436,13877
2019-11-17,-0.0282,15445
2019-11-18,-0.035,12686
2019-11-19,-0.0316,10699
2019-11-20,-0.0288,7736
2019-11-21,-0.0333,9207
2019-11-22,-0.0359,12839
2019-11-23,-0.0222,14435
2019-11-24,-0.0331,12898
2019-11-25,-0.0352,14976
2019-11-26,-0.0339,14278
2019-11-27,-0.0217,12852
2019-11-28,-0.0293,6833
2019-11-29,-0.0306,8356
2019-11-30,-0.04,9360
2019-12-01,-0.027,7994
2019-12-02,-0.0311,8639
2019-12-03,-0.0215,10172
2019-12-04,-0.0311,10022
2019-12-05,-0.0324,11049
2019-12-06,-0.0325,12313
2019-12-07,-0.0413,9590
2019-12-08,-0.0341,10133
2019-12-09,-0.0322,10237
2019-12-10,-0.0435,9093
2019-12-11,-0.0484,7350
2019-12-12,-0.0451,6375
2019-12-13,-0.0414,7428
2019-12-14,-0.0145,7956
2019-12-15,-0.0284,10437
2019-12-16,-0.0385,9943
2019-12-17,-0.0498,12768
2019-12-18,-0.052,18648
2019-12-19,-0.0305,14218
2019-12-20,-0.026,13692
2019-12-21,-0.0286,12405
2019-12-22,-0.0465,11310
2019-12-23,-0.0368,9766
2019-12-24,-0.0179,7560
2019-12-25,-0.0238,6676
2019-12-26,-0.0174,8868
2019-12-27,-0.03,9353
2019-12-28,-0.0184,11346
2019-12-29,-0.026,11755
2019-12-30,-0.032,9124
2019-12-31,-0.0297,8075
2020-01-01,-0.0306,6591
2020-01-02,-0.0309,10150
2020-01-03,-0.0372,10094
2020-01-04,-0.0309,9500
2020-01-05,-0.0334,9187
2020-01-06,-0.0431,9261
2020-01-07,-0.0435,11280
2020-01-08,-0.0551,12450
2020-01-09,-0.0485,8670
2020-01-10,-0.0299,9146
2020-01-11,-0.0383,9781
2020-01-12,-0.0412,11108
2020-01-13,-0.0268,9891
2020-01-14,-0.0256,12082
2020-01-15,-0.0253,10915
2020-01-16,-0.0288,12879
2020-01-17,-0.0332,13083
2020-01-18,-0.0327,8547
2020-01-19,-0.0402,11770
2020-01-20,-0.0284,9840
2020-01-21,-0.0189,14036
2020-01-22,-0.0248,17711
2020-01-23,-0.0255,13483
2020-01-24,-0.0237,9442
2020-01-25,-0.029,10863
2020-01-26,-0.0333,10641
2020-01-27,-0.0162,10452
2020-01-28,-0.0395,15929
2020-01-29,-0.0331,17614
2020-01-30,-0.0379,16924
2020-01-31,-0.0363,19552
2020-02-01,-0.0459,13073
2020-02-02,-0.0539,17205
2020-02-03,-0.0472,17290
2020-02-04,-0.0414,16119
2020-02-05,-0.0434,13470
2020-02-06,-0.0475,15961
2020-02-07,-0.0491,10473
2020-02-08,-0.0369,7920
2020-02-09,-0.0352,7147
2020-02-10,-0.0433,9470
2020-02-11,-0.043,10329
2020-02-12,-0.034,13427
2020-02-13,-0.0217,18157
2020-02-14,-0.0335,11826
2020-02-15,-0.0413,9435
2020-02-16,-0.0449,10317
2020-02-17,-0.0361,14646
2020-02-18,-0.0336,13970
2020-02-19,-0.0345,15233
2020-02-20,-0.0459,16912
2020-02-21,-0.0535,12119
