Giorno,Indice
20181128,0.711990792
20181129,1.370871266
20181130,0.966289606
20181201,0.104987467
20181202,0.329716218
20181203,-0.080251051
20181204,-0.836250904
20181205,-2.729430361
20181206,-2.54888708
20181207,-1.912319203
20181208,-1.381659629
20181209,0.382159224
20181210,0.130185341
20181211,0.675263159
20181212,0.502550796
20181213,0.117847008
20181214,0.816708192
20181215,0.70058635
20181216,-0.163310295
20181217,-1.533749601
20181218,-1.945884878
20181219,-1.552641202
20181220,-1.95143744
20181221,-2.306636448
20181222,-1.820576085
20181223,-1.644894403
20181224,-4.383097679
20181225,-0.76592034
20181226,-2.121123152
20181227,-4.190040614
20181228,-1.64417232
20181229,-3.006158047
20181230,-1.348965445
20181231,2.831185
20190101,2.205959103
20190102,0.648840632
20190103,-0.631965273
20190104,-1.564752928
20190105,-1.942609535
20190106,0.471264629
20190107,-1.471801279
20190108,-3.537287042
20190109,-2.114601894
20190110,-0.098113551
20190111,-0.472602442
20190112,-1.876805208
20190113,-1.23810637
20190114,-0.40031768
20190115,-2.019989644
20190116,-1.321303685
20190117,2.417201216
20190118,1.732828673
20190119,0.382716315
20190120,1.032097643
20190121,0.475898943
20190122,2.081460701
20190123,1.012137205
20190124,0.852826113
20190125,0.132188875
20190126,-0.815370114
20190127,-0.652577938
20190128,-1.572076524
20190129,-0.19463698
20190130,0.664090742
20190131,-1.813423941
20190201,-2.220517535
20190202,-1.106414219
20190203,0.915096861
20190204,0.764531468
20190205,1.106792473
20190206,0.036740217
20190207,0.829665959
20190208,-0.178308932
20190209,-0.840200633
20190210,-0.852391949
20190211,-0.562966655
20190212,0.291579662
20190213,-2.563962972
20190214,-1.297699055
20190215,-1.321333783
20190216,-0.347149808
20190217,0.165371758
20190218,-0.742978218
20190219,-0.815220286
20190220,-3.563943089
20190221,0.023374652
20190222,0.423462387
20190223,0.575186116
20190224,0.091807168
20190225,-0.028046283
20190226,1.206979946
20190227,0.226656636
20190228,-0.429213963
20190301,-0.915636036
20190302,-0.852449623
20190303,0.118402077
